Product Number,Part number,SKU - Description,Price,Category,Category Number
489884,44122,"489884-FIBER DISC 4.5"" 24G PK3",2.72,PAINT / SUNDRIES,930
489885,45723,"489885-FIBER DISC 5"" 24G PK3",3.06,PAINT / SUNDRIES,930
489886,42074,489886-SANDER HOOK&LOOP ST.KIT 1/4SHT,4.84,PAINT / SUNDRIES,930
489887,42265,489887-HOOK&LOOP 5' 8HOLES(4) G80,2.38,PAINT / SUNDRIES,930
489888,57276,489888-HOOK&LOOP 5' 8HOLES(25) G60,10.91,PAINT / SUNDRIES,930
489889,42708,489889-HOOK&LOOP 5' 5HOLES(4) G60,3.19,PAINT / SUNDRIES,930
489890,44535,"489890-FIBER DISC 4"" 36G PK3",2.44,PAINT / SUNDRIES,930
489891,44139,"489891-FIBER DISC 4.5"" 36G PK 3",2.72,PAINT / SUNDRIES,930
489892,45730,"489892-FIBER DISC 5"" 36G PK3",3.06,PAINT / SUNDRIES,930
489893,42098,489893-SANDPAPER H&L 4.5X4.5(4) G80,1.89,PAINT / SUNDRIES,930
489894,42302,489894-HOOK&LOOP 5' 8HOLES (4) G120,3.99,PAINT / SUNDRIES,930
489895,57689,489895-HOOK&LOOP 5' 8HOLES (25) G100,14.99,PAINT / SUNDRIES,930
489896,42319,489896-HOOK&LOOP 5' 5HOLES (4) G80,2.38,PAINT / SUNDRIES,930
489897,44559,"489897-FIBER DISC 4"" 50G PK3",2.44,PAINT / SUNDRIES,930
489899,45754,"489899-FIBER DISC 5"" 50G PK3",3.06,PAINT / SUNDRIES,930
489918,40452,"489918-BLADE SAW 10""X40T GENERAL",16.58,TOOLS/HARDWARE,924
489921,40453,"489921-BLADE SAW 12""X44T GENERAL",23.67,TOOLS/HARDWARE,924
489927,42081,489927-SANDPAPER H&L 4.5X4.5(4) G120,1.89,PAINT / SUNDRIES,930
489928,42326,489928-HOO AND LOOP 5' 8HOLES(4) G180,2.38,PAINT / SUNDRIES,930
489929,57696,489929-HOO&LOOP 5' 8HOLES (25) G150,10.91,PAINT / SUNDRIES,930
489930,42258,489930-HOOK&LOOP 5' 5 HOLES (4) G120,2.38,PAINT / SUNDRIES,930
489931,44580,"489931-FIBER DISC 4"" 80G PK3",2.44,PAINT / SUNDRIES,930
489932,44184,"489932-FIBER DISC 4.5"" 80G PK3",2.72,PAINT / SUNDRIES,930
489933,45785,"489933-FIBER DISC 5"" 80G PK3",3.06,PAINT / SUNDRIES,930
489934,42104,489934-SANDPAPER H&L 4.5X4.5 (4) G150,1.89,PAINT / SUNDRIES,930
489935,42333,489935-HOOK&LOOP 5' 8HOLES (4) G220,3.19,PAINT / SUNDRIES,930
489936,57313,489936-HOOK&LOOP 5' 8HOLES (25) G220,10.91,PAINT / SUNDRIES,930
489937,42289,489937-HOOK&LOOP 5' 5HOLES(4) G220,1.91,PAINT / SUNDRIES,930
489938,29559,489938-DISCS FLAP 4 1/2 X 7/8 G60,4.12,PAINT / SUNDRIES,930
489939,33822,489939-DISCS FLAP 4 1/2 X 7/8 G80,4.12,PAINT / SUNDRIES,930
489940,33839,489940-DISCS FLAP 4 1/2 X 7/8 G120,4.12,PAINT / SUNDRIES,930
489941,42111,489941-SANDPAPER H&L 4.5X4.5 (4) G220,2.04,PAINT / SUNDRIES,930
489942,42401,489942-AL. OXIDE SHEETS4 1/2X11(4)G60,2.04,PAINT / SUNDRIES,930
489943,42395,489943-AL.OXIDE SHEET 4 1/2X11(4)G80,2.04,PAINT / SUNDRIES,930
